Document_Name,Chapter,Section,SubSection,Paragraph_Synopsis,Sentence_Count,Additional_Context,Header,Footer,Indexed_Text,Table_Delimited,Hyperlinks
implementing-accounting-hub-reporting,Contents,,,"Oracle Accounting Hub Reporting Cloud Service helps E-Business Suite customers with cloud-based financial reporting, while Financial Reporting Center provides a centralized platform for other financial reports.",1,Overview,Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials,,Contents Get Help ................................................................................................................................ i 1 Cloud Reporting 1 Overview of Oracle Accounting Hub Reporting Cloud Service for E-Business Suite Customers ................................... 1 2 Other Financial Reporting 3 Overview of Financial Reporting Center ................................................................................................................................... 3 Set Up Financial Reporting Center and Smart View .............................................................................................................. 5 Oracle General Ledger Predefined Reports .............................................................................................................................. 8,,
implementing-accounting-hub-reporting,Contents,,Get Help in the Applications,"Oracle provides various ways to learn about products and interact with users, including contextual help icons on application pages. Additional resources include My Oracle Support, accessible support through Oracle Accessibility Learning and Support, and training opportunities at Oracle University.",8,Note,Get Help | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials,i,"Get Help There are a number of ways to learn more about your product and interact with Oracle and other users. Get Help in the Applications Some application pages have help icons to give you access to contextual help. If you don't see any help icons on your page, click your user image or name in the global header and select Show Help Icons. If the page has contextual help, help icons will appear. Get Support You can get support at My Oracle Support . For accessible support, visit Oracle Accessibility Learning and Support . Get Training Increase your knowledge of Oracle Cloud by taking courses at Oracle University . Join Our Community Use Cloud Customer Connect to get information",,
implementing-accounting-hub-reporting,Contents,,Get Help in the Applications,"Oracle offers resources such as forums and events to connect with industry experts and share ideas, while also providing accessibility features and alternative formats for videos. The company welcomes feedback on its user assistance, encouraging customers to email their thoughts to help improve the experience.",8,Note,Get Help | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials,i,"from industry experts at Oracle and in the partner community. You can join forums to connect with other customers, post questions, suggest ideas for product enhancements, and watch events. Learn About Accessibility For information about Oracle's commitment to accessibility, visit the Oracle Accessibility Program . Videos included in this guide are provided as a media alternative for text-based topics also available in this guide. Share Your Feedback We welcome your feedback about Oracle Applications user assistance. If you need clarification, find an error, or just want to tell us what you found helpful, we'd like to hear from you. You can email your feedback to oracle_fusion_applications_help_ww_grp@oracle.com . Thanks for helping us improve our user assistance!",,My Oracle Support | https://support.oracle.com/portal/; Oracle Accessibility Learning and Support | https://www.oracle.com/corporate/accessibility/learning-support.html#support-tab; Oracle University | https://www.oracle.com/education/; Cloud Customer Connect | https://cloudcustomerconnect.oracle.com/pages/home; ideas | https://community.oracle.com/customerconnect/categories/idealab-guidelines; Oracle Accessibility Program | https://www.oracle.com/corporate/accessibility/; oracle_fusion_applications_help_ww_grp@oracle.com | mailto:oracle_fusion_applications_help_ww_grp@oracle.com
implementing-accounting-hub-reporting,1,Overview of Oracle Accounting Hub Reporting Cloud,Get Help in the Applications,"Oracle's Accounting Hub Reporting Cloud Service provides E-Business Suite customers with enhanced reporting and analytics capabilities while maintaining minimal disruption to their current financial processes. The service integrates seamlessly with E-Business Suite Release 12, offering real-time access to information for informed business decisions.",4,Overview,Chapter 1 | Cloud Reporting | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials,1,"1 Cloud Reporting Overview of Oracle Accounting Hub Reporting Cloud Service for E-Business Suite Customers Oracle Accounting Hub Reporting Cloud Service provides E-Business Suite customers exceptional reporting and analytics capabilities with minimal disruption to their current financial management processes. The predefined integration between the Accounting Hub Reporting Cloud Service and E-Business Suite Release 12 (R12) allows E-Business Suite customers to gain real-time access to information and improve business decisions with minimal costs and reduced risk. Customers can continue to use their current financial processes for day-to-day operational accounting, and then use the Accounting Hub Reporting Cloud Service for their reporting and analysis. For more information, see Accounting Hub Reporting Cloud Service for E-Business Suite Customers, DOC ID 2034564.1, on My",,
implementing-accounting-hub-reporting,2,Overview of Financial Reporting Center,Financial Reporting Center,"The Financial Reporting Center is a primary interface for financial users to access all 7 report types, including Web Studio Reports and Oracle Transactional Business Intelligence Analyses. It also offers other reporting tools to run the same reports through various methods.",6,Overview,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,3,"2 Other Financial Reporting Overview of Financial Reporting Center The Financial Reporting Center is intended to be the primary user interface for financials end users to access all seven report types. Financial Reporting Center The Financial Reporting Center includes these report types: Financial Reporting Web Studio Reports, Account Groups and Sunburst, Smart View Reports, Oracle Transactional Business Intelligence Analyses, Oracle Transactional Business Intelligence Dashboards, Oracle Analytics Publisher Reports, and Business Intelligence Mobile Apps. Other reporting tools are also available to run the same seven report types. This figure illustrates the report types that are available in the Financial Reporting Center. Reports can be accessed through various methods. However, the Financial Reporting Center provides access to every type of report, is",,
implementing-accounting-hub-reporting,2,Overview of Financial Reporting Center,Financial Reporting Center,"The primary user interface for financial end-users, this platform is optimized for tablets and smartphones, allowing access to reports with features like favoriting, tagging, and viewing report details.",2,Tips,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,3,"intended to be the primary user interface for financials end users, and is tablet and smartphone friendly. In addition to accessing reports, you can add favorites, define tags, and view report details, such as type and last updated date.",,
implementing-accounting-hub-reporting,2,Overview of Financial Reporting Center,Other Reporting Tools,"Financial Reports can be accessed from the Shared > Custom > Financials and My Folders directories, while other report types can be saved anywhere in the BI Catalog. The seven types of reports include financial reports built off Oracle's General Ledger balances cube, such as income statements and balance sheets.",8,Definition,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,4,"Financial Reports are read from the Shared > Custom > Financials and My Folders directories. All other report types can be saved anywhere in the BI Catalog however, any user-defined content should be in the Shared > Custom folder. Subfolders can be created within the Shared > Custom folder. Seven types of reports can be run from the Financial Reporting Center and from the other reporting tools. - Financial Reports: These reports are built off of the Oracle Financial Reporting Web Studio using data in the Oracle General Ledger balances cube. For example, company income statements and balance sheets. These reports are mainly run by users in General Ledger. - Account Groups and Sunburst: Account groups are used to monitor",,
implementing-accounting-hub-reporting,2,Overview of Financial Reporting Center,Other Reporting Tools,"Account groups in General Ledger appear in the Financial Reporting Center with Sunburst visualization, allowing interactive balance analysis across business dimensions. Smart View Reports enables multidimensional pivot analysis and report definition in Excel, ideal for General Ledger users, with sharing options via email or the Financial Reporting Center.",8,Overview,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,4,"key accounts in General Ledger. When a user creates an account group, it becomes visible in the Financial Reporting Center with the Sunburst visualization tool. The Sunburst visualization tool lets you interact with your account balances across various business dimensions to view balances from different perspectives. Account groups are used only in General Ledger. - Smart View Reports: Smart View is a multidimensional pivot analysis tool combined with full Excel functionality. Smart View enables you to interactively analyze your balances and define reports using a familiar spreadsheet environment. These queries are mainly for users in General Ledger. To share Smart View queries, users can email them to other users, or they can upload the queries to the Financial Reporting Center",,
implementing-accounting-hub-reporting,2,Overview of Financial Reporting Center,Other Reporting Tools,"The Financial Reporting Center allows users to upload and download Smart View queries to a local drive for use. Additionally, Oracle offers Transactional Business Intelligence analyses and reports that can be run by users in various modules such as General Ledger, Payables, and Receivables.",7,Tips,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,4,"where users can download them to a local drive for use. The Financial Reporting Center is only a place for users to upload and download Smart View queries. Note: To upload a Smart View report to the Financial Reporting Center: select the Open Workspace for Financial Reports task, navigate to the BI Catalog, and select Upload from the Tasks section. Be sure to upload the Excel file to one of the folder locations mentioned previously. - Oracle Transactional Business Intelligence Analyses: These analyses and reports are built off of transactional tables using subject areas. These reports can be run by users in General Ledger, Payables, Receivables, Cash Management, Intercompany, and so on. - Oracle Transactional Business Intelligence Dashboards: Dashboards put",,
implementing-accounting-hub-reporting,2,Overview of Financial Reporting Center,Other Reporting Tools,"Oracle's dashboards provide a single source for business users to perform their jobs, built from Transactional Business Intelligence objects like analyses and reports. The reports can be run by users in various modules such as General Ledger and Payables, with many being predefined and requiring submission and re-submission for latest",6,Overview,Chapter 2 | Implementing Accounting Hub Reporting | Oracle Fusion Cloud Financials | Other Financial Reporting,4,"all the information, functions, and actions that a business user must have to do their job in one place. Dashboards are built off of Oracle Transactional Business Intelligence objects like analyses and reports. These reports can be run by users in General Ledger, Payables, Receivables, Cash Management, Intercompany, and so on. - Oracle Analytics Publisher Reports: Most of these reports are predefined and must first be submitted and resubmitted to see the latest data by the Oracle Enterprise Scheduler through the Scheduled Processes navigation. These reports can be run by users in General Ledger, Payables, Receivables, Cash Management, Intercompany, and so on. - BI Mobile Apps: Oracle Business Intelligence Mobile App Designer is an application that enables you to create",,
