Document_Name,Chapter,Section,SubSection,Paragraph_Synopsis,Sentence_Count,Additional_Context,Header,Footer,Indexed_Text,Table_Delimited,Hyperlinks
implementing-accounting-hub,Contents,,,"Oracle Accounting Hub Cloud provides a rapid implementation solution, featuring configuration options and financial setup processes. The guide covers enterprise structures, data import/export, and financials implementation to help users get started with the cloud-based accounting hub.",1,Overview,Implementing Accounting Hub | Oracle Fusion Cloud Financials,,Contents Get Help ................................................................................................................................ i 1 Introduction to Oracle Accounting Hub Cloud 1 Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation ...................................... 1 Create an Oracle Accounting Hub Cloud Rapid Implementation Project ........................................................................... 2 Overview of Oracle Accounting Hub Cloud Features ............................................................................................................. 3 How Oracle Accounting Hub Cloud Works ............................................................................................................................... 3 Overview of Accounting Configuration Offerings .................................................................................................................. 6 Overview of Implementation Options for Oracle Accounting Hub Cloud ......................................................................... 6 Setup Data Import and Export for Oracle Accounting Hub Cloud ...................................................................................... 8 Overview of Implementing Financials ...................................................................................................................................... 12 2 Enterprise Structures for Oracle Accounting Hub 15 Overview of Enterprise Structures ............................................................................................................................................ 15 Overview of Common Financials Configuration for Rapid Implementation .................................................................... 15 Overview of Initial Configuration with the,,
implementing-accounting-hub,Contents,,,"The Enterprise Structures Configurator provides guidance on configuring enterprise structures, including legal jurisdictions, geographies, and financial reporting structures. It also covers topics such as charts of accounts, value sets, account hierarchies, and segment value attributes, with accompanying FAQs for common questions.",1,Overview,Implementing Accounting Hub | Oracle Fusion Cloud Financials,,Enterprise Structures Configurator .............................................................. 16 FAQs for Define Initial Configuration ....................................................................................................................................... 16 Enterprise for Oracle Accounting Hub ..................................................................................................................................... 17 Overview of Legal Jurisdictions and Authorities ................................................................................................................... 17 Overview of Geographies ............................................................................................................................................................ 18 Overview of Legal Entities .......................................................................................................................................................... 19 3 Financial Reporting Structures 21 Overview of Financial Reporting Structure ............................................................................................................................. 21 Chart of Accounts ......................................................................................................................................................................... 21 FAQs for Manage Charts of Accounts ..................................................................................................................................... 22 Overview of Value Sets ............................................................................................................................................................... 23 Account Hierarchies ..................................................................................................................................................................... 23 Segment Value Attributes .......................................................................................................................................................... 27 FAQs for Maintain Segment Values Attributes ....................................................................................................................... 31 Overview of Deploying Flexfield ................................................................................................................................................ 31 Cross-Validation Rules ................................................................................................................................................................. 32,,
implementing-accounting-hub,Contents,,,"The document provides guidance on chart of accounts mapping, calendar setup, currencies, conversion rates, and ledger management. It also covers accounting configuration, security settings, and how balances are calculated for reporting currencies, with accompanying FAQs throughout.",1,Overview,Implementing Accounting Hub | Oracle Fusion Cloud Financials,,Segment Rules and Account Rules for Chart of Accounts Mapping ................................................................................ 33 FAQ for Manage Chart of Accounts Mapping ....................................................................................................................... 34 Overview of Defining Calendars ............................................................................................................................................... 34 FAQs for Define Calendars ......................................................................................................................................................... 35 Currencies ...................................................................................................................................................................................... 36 FAQs for Manage Currencies ..................................................................................................................................................... 37 Conversion Rate Types ................................................................................................................................................................ 38 FAQs for Manage Conversion Rate Types ............................................................................................................................... 41 Daily Currency Rates ................................................................................................................................................................... 42 4 Ledgers 45 Overview of Ledger and Subledgers ....................................................................................................................................... 45 FAQs for Specify Ledger Options ............................................................................................................................................. 45 Accounting Configuration .......................................................................................................................................................... 46 FAQs for Accounting Configuration ......................................................................................................................................... 47 Assign Access to Ledger ............................................................................................................................................................ 48 General Ledger Security ............................................................................................................................................................. 49 FAQs for Manage General Ledger Security ........................................................................................................................... 50 How Balances for Reporting Currencies Are Calculated ...................................................................................................... 51 Examples of Ledger Sets ............................................................................................................................................................,,
implementing-accounting-hub,Contents,,,"The module provides rules and guidelines for managing accounting and reporting sequences, auto-posting criteria sets, journal reversals, and period close components. It also includes FAQs and tutorials on topics such as allocations, recurring entries, and calculation manager usage.",1,Overview,Implementing Accounting Hub | Oracle Fusion Cloud Financials,,53 Accounting and Reporting Sequences .................................................................................................................................... 54 FAQs for Manage Accounting and Reporting Sequences .................................................................................................. 58 Journal Approval Rules ............................................................................................................................................................... 58 AutoPost Criteria Sets ................................................................................................................................................................. 64 FAQs for Manage AutoPost Criteria Sets ............................................................................................................................... 66 Journal Reversals ......................................................................................................................................................................... 67 Overview of Clearing Accounts Reconciliation ...................................................................................................................... 73 5 Period Close Components 75 Overview of Period Close ........................................................................................................................................................... 75 Allocations and Periodic Entries ............................................................................................................................................... 75 Overview of Recurring Entries .................................................................................................................................................. 80 Overview of Using Calculation Manger .................................................................................................................................. 80 FAQs for Manage Allocations and Periodic Entries .............................................................................................................. 81 Allocation Rules ............................................................................................................................................................................ 82 FAQs for Allocation Rules .......................................................................................................................................................... 86 Allocation Rule Sets ..................................................................................................................................................................... 87,,
implementing-accounting-hub,Contents,,,"This section covers FAQs and guides for allocating rules, accounting transformation configuration, subledger accounting, and maintenance tasks. It includes topics such as generating allocations, managing source systems, and creating subledger journal entries.",1,Overview,Implementing Accounting Hub | Oracle Fusion Cloud Financials,,FAQs for Allocation Rule Sets .................................................................................................................................................... 91 Overview of Point of View and Allocation Components ..................................................................................................... 92 FAQs for Point of View and Allocations Components ......................................................................................................... 92 Generate Allocations and Periodic Entries Manually ........................................................................................................... 94 Overview of Revaluations ........................................................................................................................................................... 95 6 Accounting Transformation 97 Overview of Accounting Transformation Configuration ..................................................................................................... 97 Analyze Source Systems ............................................................................................................................................................ 99 Manage Source Systems ........................................................................................................................................................... 103 Manage Accounting Rules ........................................................................................................................................................ 122 Migrate the Configuration ......................................................................................................................................................... 161 Secure Accounting Transformations ...................................................................................................................................... 162 Create and Process Subledger Journal Entries .................................................................................................................... 163 FAQs for Accounting Transformation .................................................................................................................................... 164 7 Subledger Accounting 167 Overview of Manage Subledger Accounting ........................................................................................................................ 167 Upload Transaction Data .......................................................................................................................................................... 167 Accounting Hub Maintenance ................................................................................................................................................. 175 Create Accounting ...................................................................................................................................................................... 180 Subledger Journal Adjustment ............................................................................................................................................... 194,,
implementing-accounting-hub,Contents,,,"The Subledger Accounting module offers advanced features and reporting capabilities, including subledger journal entries, balances, and accounting. The module also provides rules for intercompany processing, allocations, and reconciliation, as well as an overview of consolidation processes.",1,Overview,Implementing Accounting Hub | Oracle Fusion Cloud Financials,,Subledger Journal Entry ........................................................................................................................................................... 201 Subledger Balances ................................................................................................................................................................... 207 Advanced Features ..................................................................................................................................................................... 212 Subledger Accounting Reporting ........................................................................................................................................... 232 FAQs for Subledger Accounting ............................................................................................................................................. 238 8 Intercompany Processing Rules 241 Overview of Intercompany Processing Rules ....................................................................................................................... 241 Overview of Intercompany Balancing Rules ......................................................................................................................... 241 Overview of Intercompany Allocations ................................................................................................................................. 242 FAQs for Intercompany Allocations ....................................................................................................................................... 242 Intercompany Reconciliation ................................................................................................................................................... 243 9 Consolidations 245 Overview of Consolidation ....................................................................................................................................................... 245,,
implementing-accounting-hub,Contents,,,"This section provides examples and guides on mapping segments to financial management dimensions, budget configuration, financial reporting, and extensions for Oracle Accounting Hub. It includes FAQs, overviews, and tutorials to help users navigate these features.",1,Overview,Implementing Accounting Hub | Oracle Fusion Cloud Financials,,Example of Mapping Segments to Financial Management Dimensions ....................................................................... 245 FAQs for Consolidations ........................................................................................................................................................... 246 10 Budget Configuration 247 Overview of Budget Configuration ........................................................................................................................................ 247 Overview of Integration with Oracle Enterprise Planning and Budgeting Cloud Service ........................................... 249 11 Financial Reporting 251 Overview of Financial Reporting ............................................................................................................................................. 251 FAQs for Financial Reporting ................................................................................................................................................... 251 Create a Financial Report ......................................................................................................................................................... 252 12 Extensions for Oracle Accounting Hub 261 Enterprise Scheduler Jobs for Oracle Accounting Hub ...................................................................................................... 261,,
implementing-accounting-hub,Contents,,Get Help in the Applications,"Here is a concise summary: Oracle offers various ways to learn about products and interact with users, including contextual help icons on some application pages. Additionally, customers can access support through My Oracle Support, training through Oracle University, and community resources like Cloud Customer Connect.",8,Note,Get Help | Implementing Accounting Hub | Oracle Fusion Cloud Financials,i,"Get Help There are a number of ways to learn more about your product and interact with Oracle and other users. Get Help in the Applications Some application pages have help icons to give you access to contextual help. If you don't see any help icons on your page, click your user image or name in the global header and select Show Help Icons. If the page has contextual help, help icons will appear. Get Support You can get support at My Oracle Support . For accessible support, visit Oracle Accessibility Learning and Support . Get Training Increase your knowledge of Oracle Cloud by taking courses at Oracle University . Join Our Community Use Cloud Customer Connect to get information",,
implementing-accounting-hub,Contents,,Get Help in the Applications,"Oracle provides a forum for customers to connect with each other and share ideas, as well as opportunities to give feedback on product enhancements. Additionally, Oracle's Accessibility Program offers resources and support for users with disabilities.",8,Note,Get Help | Implementing Accounting Hub | Oracle Fusion Cloud Financials,i,"from industry experts at Oracle and in the partner community. You can join forums to connect with other customers, post questions, suggest ideas for product enhancements, and watch events. Learn About Accessibility For information about Oracle's commitment to accessibility, visit the Oracle Accessibility Program . Videos included in this guide are provided as a media alternative for text-based topics also available in this guide. Share Your Feedback We welcome your feedback about Oracle Applications user assistance. If you need clarification, find an error, or just want to tell us what you found helpful, we'd like to hear from you. You can email your feedback to oracle_fusion_applications_help_ww_grp@oracle.com . Thanks for helping us improve our user assistance!",,My Oracle Support | https://support.oracle.com/portal/; Oracle Accessibility Learning and Support | https://www.oracle.com/corporate/accessibility/learning-support.html#support-tab; Oracle University | https://www.oracle.com/education/; Cloud Customer Connect | https://cloudcustomerconnect.oracle.com/pages/home; ideas | https://community.oracle.com/customerconnect/categories/idealab-guidelines; Oracle Accessibility Program | https://www.oracle.com/corporate/accessibility/; oracle_fusion_applications_help_ww_grp@oracle.com | mailto:oracle_fusion_applications_help_ww_grp@oracle.com
implementing-accounting-hub,1,Overview of Define Oracle Fusion Accounting Hub,Task Lists,"The Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation task list streamlines setup configurations, minimizing time spent on key configurations to enable day-to-day use of Oracle Accounting Hub Cloud applications. The task list includes critical and required setup steps for most users, which can be modified through the Manage",6,Overview,Chapter 1 | Implementing Accounting Hub | Introduction to Oracle Accounting Hub Cloud | Oracle Fusion Cloud Financials,1,"1 Introduction to Oracle Accounting Hub Cloud Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation Use the Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation task list to streamline your setup configurations. The rapid implementation task list minimizes the time used to complete your key configurations and enables the day-to-day use of Oracle Accounting Hub Cloud applications. The rapid implementation task list includes tasks that are: - Critical setup tasks. - Setup steps that are required by most users. To create an implementation project that includes the Define Accounting Entry Configuration for Rapid Implementation task list, use the Manage Implementation Projects page in the Setup and Maintenance work area. You can modify the task list as","Task List
Description
Define Enterprise Structures Configuration
for Rapid Implementation
Define the enterprise structures configuration that includes financial and enterprise structures.
Define Financials Security Configuration
for Rapid Implementation
Define the configuration for user and data roles set up.
Define Accounting Entry Configuration for
Rapid Implementation
Define the accounting entry configuration that includes accounting transformation rules for
transactions sourced from external applications.
Define Ledger Configuration for Rapid
Implementation
Define the configuration that includes general ledger and intercompany.
Define Financial Reporting Center
Configuration for Rapid Implementation
Define the configuration that includes set up for financial reporting and integration with planning and
financial management applications.",
