section_id,indexed_text
Oracle Fusion Cloud Financials|25B,25B
Oracle Fusion Cloud Financials|25B,G26688-01
"Oracle Fusion Cloud Financials|25B|Copyright 2011,2025, Oracle and/or its affiliates.",Author: Vineeta Kumar
Oracle Fusion Cloud Financials|Contents|1 Introduction to Oracle Accounting Hub Cloud 1,Overview of Define Oracle Fusion Accounting Hub Configuration for Rapid Implementation ...................................... 1
Oracle Fusion Cloud Financials|Contents|1 Introduction to Oracle Accounting Hub Cloud 1,Create an Oracle Accounting Hub Cloud Rapid Implementation Project ........................................................................... 2
Oracle Fusion Cloud Financials|Contents|1 Introduction to Oracle Accounting Hub Cloud 1,Overview of Oracle Accounting Hub Cloud Features ............................................................................................................. 3
Oracle Fusion Cloud Financials|Contents|1 Introduction to Oracle Accounting Hub Cloud 1,How Oracle Accounting Hub Cloud Works ............................................................................................................................... 3
Oracle Fusion Cloud Financials|Contents|1 Introduction to Oracle Accounting Hub Cloud 1,Overview of Accounting Configuration Offerings .................................................................................................................. 6
Oracle Fusion Cloud Financials|Contents|1 Introduction to Oracle Accounting Hub Cloud 1,Overview of Implementation Options for Oracle Accounting Hub Cloud ......................................................................... 6
Oracle Fusion Cloud Financials|Contents|1 Introduction to Oracle Accounting Hub Cloud 1,Setup Data Import and Export for Oracle Accounting Hub Cloud ...................................................................................... 8
Oracle Fusion Cloud Financials|Contents|1 Introduction to Oracle Accounting Hub Cloud 1,Overview of Implementing Financials ...................................................................................................................................... 12
Oracle Fusion Cloud Financials|Contents|2 Enterprise Structures for Oracle Accounting Hub 15,Overview of Enterprise Structures ............................................................................................................................................ 15
Oracle Fusion Cloud Financials|Contents|2 Enterprise Structures for Oracle Accounting Hub 15,Overview of Common Financials Configuration for Rapid Implementation .................................................................... 15
Oracle Fusion Cloud Financials|Contents|2 Enterprise Structures for Oracle Accounting Hub 15,Overview of Initial Configuration with the Enterprise Structures Configurator .............................................................. 16
Oracle Fusion Cloud Financials|Contents|2 Enterprise Structures for Oracle Accounting Hub 15,FAQs for Define Initial Configuration ....................................................................................................................................... 16
Oracle Fusion Cloud Financials|Contents|2 Enterprise Structures for Oracle Accounting Hub 15,Enterprise for Oracle Accounting Hub ..................................................................................................................................... 17
Oracle Fusion Cloud Financials|Contents|2 Enterprise Structures for Oracle Accounting Hub 15,Overview of Legal Jurisdictions and Authorities ................................................................................................................... 17
Oracle Fusion Cloud Financials|Contents|2 Enterprise Structures for Oracle Accounting Hub 15,Overview of Geographies ............................................................................................................................................................ 18
Oracle Fusion Cloud Financials|Contents|2 Enterprise Structures for Oracle Accounting Hub 15,Overview of Legal Entities .......................................................................................................................................................... 19
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,Overview of Financial Reporting Structure ............................................................................................................................. 21
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,Chart of Accounts ......................................................................................................................................................................... 21
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,FAQs for Manage Charts of Accounts ..................................................................................................................................... 22
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,Overview of Value Sets ............................................................................................................................................................... 23
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,Account Hierarchies ..................................................................................................................................................................... 23
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,Segment Value Attributes .......................................................................................................................................................... 27
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,FAQs for Maintain Segment Values Attributes ....................................................................................................................... 31
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,Overview of Deploying Flexfield ................................................................................................................................................ 31
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,Cross-Validation Rules ................................................................................................................................................................. 32
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,Segment Rules and Account Rules for Chart of Accounts Mapping ................................................................................ 33
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,FAQ for Manage Chart of Accounts Mapping ....................................................................................................................... 34
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,Overview of Defining Calendars ............................................................................................................................................... 34
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,FAQs for Define Calendars ......................................................................................................................................................... 35
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,Currencies ...................................................................................................................................................................................... 36
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,FAQs for Manage Currencies ..................................................................................................................................................... 37
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,Conversion Rate Types ................................................................................................................................................................ 38
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,FAQs for Manage Conversion Rate Types ............................................................................................................................... 41
Oracle Fusion Cloud Financials|Contents|3 Financial Reporting Structures 21,Daily Currency Rates ................................................................................................................................................................... 42
Oracle Fusion Cloud Financials|Contents|4 Ledgers 45,Overview of Ledger and Subledgers ....................................................................................................................................... 45
Oracle Fusion Cloud Financials|Contents|4 Ledgers 45,FAQs for Specify Ledger Options ............................................................................................................................................. 45
Oracle Fusion Cloud Financials|Contents|4 Ledgers 45,Accounting Configuration .......................................................................................................................................................... 46
Oracle Fusion Cloud Financials|Contents|4 Ledgers 45,FAQs for Accounting Configuration ......................................................................................................................................... 47
Oracle Fusion Cloud Financials|Contents|4 Ledgers 45,Assign Access to Ledger ............................................................................................................................................................ 48
Oracle Fusion Cloud Financials|Contents|4 Ledgers 45,General Ledger Security ............................................................................................................................................................. 49
Oracle Fusion Cloud Financials|Contents|4 Ledgers 45,FAQs for Manage General Ledger Security ........................................................................................................................... 50
Oracle Fusion Cloud Financials|Contents|4 Ledgers 45,How Balances for Reporting Currencies Are Calculated ...................................................................................................... 51
Oracle Fusion Cloud Financials|Contents|4 Ledgers 45,Examples of Ledger Sets ............................................................................................................................................................ 53
Oracle Fusion Cloud Financials|Contents|4 Ledgers 45,Accounting and Reporting Sequences .................................................................................................................................... 54
Oracle Fusion Cloud Financials|Contents|4 Ledgers 45,FAQs for Manage Accounting and Reporting Sequences .................................................................................................. 58
Oracle Fusion Cloud Financials|Contents|4 Ledgers 45,Journal Approval Rules ............................................................................................................................................................... 58
Oracle Fusion Cloud Financials|Contents|4 Ledgers 45,AutoPost Criteria Sets ................................................................................................................................................................. 64
Oracle Fusion Cloud Financials|Contents|4 Ledgers 45,FAQs for Manage AutoPost Criteria Sets ............................................................................................................................... 66
Oracle Fusion Cloud Financials|Contents|4 Ledgers 45,Journal Reversals ......................................................................................................................................................................... 67
Oracle Fusion Cloud Financials|Contents|4 Ledgers 45,Overview of Clearing Accounts Reconciliation ...................................................................................................................... 73
Oracle Fusion Cloud Financials|Contents|5 Period Close Components 75,Overview of Period Close ........................................................................................................................................................... 75
Oracle Fusion Cloud Financials|Contents|5 Period Close Components 75,Allocations and Periodic Entries ............................................................................................................................................... 75
Oracle Fusion Cloud Financials|Contents|5 Period Close Components 75,Overview of Recurring Entries .................................................................................................................................................. 80
Oracle Fusion Cloud Financials|Contents|5 Period Close Components 75,Overview of Using Calculation Manger .................................................................................................................................. 80
Oracle Fusion Cloud Financials|Contents|5 Period Close Components 75,FAQs for Manage Allocations and Periodic Entries .............................................................................................................. 81
Oracle Fusion Cloud Financials|Contents|5 Period Close Components 75,Allocation Rules ............................................................................................................................................................................ 82
Oracle Fusion Cloud Financials|Contents|5 Period Close Components 75,FAQs for Allocation Rules .......................................................................................................................................................... 86
Oracle Fusion Cloud Financials|Contents|5 Period Close Components 75,Allocation Rule Sets ..................................................................................................................................................................... 87
Oracle Fusion Cloud Financials|Contents|5 Period Close Components 75,FAQs for Allocation Rule Sets .................................................................................................................................................... 91
Oracle Fusion Cloud Financials|Contents|5 Period Close Components 75,Overview of Point of View and Allocation Components ..................................................................................................... 92
Oracle Fusion Cloud Financials|Contents|5 Period Close Components 75,FAQs for Point of View and Allocations Components ......................................................................................................... 92
Oracle Fusion Cloud Financials|Contents|5 Period Close Components 75,Generate Allocations and Periodic Entries Manually ........................................................................................................... 94
Oracle Fusion Cloud Financials|Contents|5 Period Close Components 75,Overview of Revaluations ........................................................................................................................................................... 95
Oracle Fusion Cloud Financials|Contents|6 Accounting Transformation 97,Overview of Accounting Transformation Configuration ..................................................................................................... 97
Oracle Fusion Cloud Financials|Contents|6 Accounting Transformation 97,Analyze Source Systems ............................................................................................................................................................ 99
Oracle Fusion Cloud Financials|Contents|6 Accounting Transformation 97,Manage Source Systems ........................................................................................................................................................... 103
Oracle Fusion Cloud Financials|Contents|6 Accounting Transformation 97,Manage Accounting Rules ........................................................................................................................................................ 122
Oracle Fusion Cloud Financials|Contents|6 Accounting Transformation 97,Migrate the Configuration ......................................................................................................................................................... 161
Oracle Fusion Cloud Financials|Contents|6 Accounting Transformation 97,Secure Accounting Transformations ...................................................................................................................................... 162
Oracle Fusion Cloud Financials|Contents|6 Accounting Transformation 97,Create and Process Subledger Journal Entries .................................................................................................................... 163
Oracle Fusion Cloud Financials|Contents|6 Accounting Transformation 97,FAQs for Accounting Transformation .................................................................................................................................... 164
Oracle Fusion Cloud Financials|Contents|7 Subledger Accounting 167,Overview of Manage Subledger Accounting ........................................................................................................................ 167
Oracle Fusion Cloud Financials|Contents|7 Subledger Accounting 167,Upload Transaction Data .......................................................................................................................................................... 167
Oracle Fusion Cloud Financials|Contents|7 Subledger Accounting 167,Accounting Hub Maintenance ................................................................................................................................................. 175
Oracle Fusion Cloud Financials|Contents|7 Subledger Accounting 167,Create Accounting ...................................................................................................................................................................... 180
Oracle Fusion Cloud Financials|Contents|7 Subledger Accounting 167,Subledger Journal Adjustment ............................................................................................................................................... 194
Oracle Fusion Cloud Financials|Contents|7 Subledger Accounting 167,Subledger Journal Entry ........................................................................................................................................................... 201
Oracle Fusion Cloud Financials|Contents|7 Subledger Accounting 167,Subledger Balances ................................................................................................................................................................... 207
Oracle Fusion Cloud Financials|Contents|7 Subledger Accounting 167,Advanced Features ..................................................................................................................................................................... 212
Oracle Fusion Cloud Financials|Contents|7 Subledger Accounting 167,Subledger Accounting Reporting ........................................................................................................................................... 232
Oracle Fusion Cloud Financials|Contents|7 Subledger Accounting 167,FAQs for Subledger Accounting ............................................................................................................................................. 238
Oracle Fusion Cloud Financials|Contents|8 Intercompany Processing Rules 241,Overview of Intercompany Processing Rules ....................................................................................................................... 241
Oracle Fusion Cloud Financials|Contents|8 Intercompany Processing Rules 241,Overview of Intercompany Balancing Rules ......................................................................................................................... 241
Oracle Fusion Cloud Financials|Contents|8 Intercompany Processing Rules 241,Overview of Intercompany Allocations ................................................................................................................................. 242
Oracle Fusion Cloud Financials|Contents|8 Intercompany Processing Rules 241,FAQs for Intercompany Allocations ....................................................................................................................................... 242
Oracle Fusion Cloud Financials|Contents|8 Intercompany Processing Rules 241,Intercompany Reconciliation ................................................................................................................................................... 243
