page_num,header_text,footer_text,hyperlink_text,table_text
2,Oracle Fusion Cloud FinancialsImplementing Accounting Hub Reporting,,Copyright (https://docs.oracle.com/pls/topic/lookup?ctx=en%2Flegal&id=cpyr&source=),
3,Oracle Fusion Cloud FinancialsImplementing Accounting Hub Reporting,,,
5,Oracle Fusion Cloud FinancialsImplementing Accounting Hub ReportingGet Help,i,My Oracle Support (https://support.oracle.com/portal/); Oracle Accessibility Learning and Support (https://www.oracle.com/corporate/accessibility/learning-support.html#support-tab); Oracle University (https://www.oracle.com/education/); Cloud Customer Connect (https://cloudcustomerconnect.oracle.com/pages/home); ideas (https://community.oracle.com/customerconnect/categories/idealab-guidelines); Oracle Accessibility Program (https://www.oracle.com/corporate/accessibility/); oracle_fusion_applications_help_ww_grp@oracle.com (mailto:oracle_fusion_applications_help_ww_grp@oracle.com),
7,Oracle Fusion Cloud FinancialsImplementing Accounting Hub ReportingChapter 1Cloud Reporting,1,,
9,Oracle Fusion Cloud FinancialsImplementing Accounting Hub ReportingChapter 2Other Financial Reporting,3,,
10,Oracle Fusion Cloud FinancialsImplementing Accounting Hub ReportingChapter 2Other Financial Reporting,4,,
11,Oracle Fusion Cloud FinancialsImplementing Accounting Hub ReportingChapter 2Other Financial Reporting,5,How to Access EPM Narrative Reporting Reports in Financial Reporting Center (https://www.oracle.com/pls/topic/lookup?ctx=fa25c&id=u30248431),"[Table 1]:
Other Reporting Tools | Report Type
General Accounting Dashboard andAccount Inspector | Account Groups
Reports and Analytics | Oracle Transactional Business Intelligence Objects
BI Catalog | All Report Types, Except Oracle Analytics Publisher Reports
Enterprise Performance ManagementWorkspace | Reports, Books, Snapshot Reports, Snapshot Books, Financial Reporting Batches, and Batch Scheduler
Enterprise Scheduler System | Oracle Analytics Publisher Reports"
12,Oracle Fusion Cloud FinancialsImplementing Accounting Hub ReportingChapter 2Other Financial Reporting,6,,
13,Oracle Fusion Cloud FinancialsImplementing Accounting Hub ReportingChapter 2Other Financial Reporting,7,,
14,Oracle Fusion Cloud FinancialsImplementing Accounting Hub ReportingChapter 2Other Financial Reporting,8,,"[Table 1]:
Name | Description
Account Analysis | Prints balances by account segment and a secondary segment for each journal entry. Lists the subledger document number for transactions imported from subledgers.
General Ledger Account Details Report | Provides journal information to trace each transaction back to its original source. Prints a separate page for each balancing segment value. For each journal line, prints: The account affected, the concatenated description, the journal line amount, and the beginningand ending account balance. Journal details including source, category, journal name, and effective date. Lists accounts in ascending order by account segment value. Prints a CR next to credit amounts.
Account Analysis for Contra AccountReport | Prints balances by account segment and a secondary segment. Lists the contra account for each journal entry and the subledger document number fortransactions imported from subledgers. Prints by date range, accounting flexfield range, contra account, and amount range.
Average Balance Audit Account AnalysisReport | Displays the detail account activity that created the aggregate balances and related averagebalances. Displays daily average balance information for the selected accounts for the specified range ofdates. Contains parameters such as the as-of reporting date, average balance type (period, quarter, oryear average-to-date), and account ranges.Note:Use to research how average balances are calculated for an account."
